imdbID,value,Type
tt0382628,Drama,Genre
tt0405325,Adventure,Genre
tt0361089,Animation,Genre
tt0408790,Drama,Genre
tt0388980,Biography,Genre
tt0338427,Drama,Genre
tt0371606,Animation,Genre
tt0363771,Adventure,Genre
tt0402894,Adventure,Genre
tt0385726,Biography,Genre
tt0436595,Documentary,Genre
tt0417433,Drama,Genre
tt0397313,Adventure,Genre
tt0393735,Comedy,Genre
tt0441796,Fantasy,Genre
tt0405469,Animation,Genre
tt0430634,Comedy,Genre
tt0317219,Animation,Genre
tt0383574,Action,Genre
tt0462590,Crime,Genre
tt0445990,Biography,Genre
tt0406816,Action,Genre
tt0482571,Drama,Genre
tt0452681,Adventure,Genre
tt0453467,Action,Genre
tt0472043,Action,Genre
tt0808096,Action,Genre
tt0398808,Drama,Genre
tt0486946,Action,Genre
tt0396555,Animation,Genre
tt0435670,Crime,Genre
tt0449088,Action,Genre
tt0382932,Animation,Genre
tt0496386,Drama,Genre
tt0467110,Action,Genre
tt1059955,Documentary,Genre
tt0492956,Comedy,Genre
tt0480242,Comedy,Genre
tt0881303,Documentary,Genre
tt0461770,Animation,Genre
tt0465234,Action,Genre
tt1127884,Documentary,Genre
tt1023481,Drama,Genre
tt0997047,Adventure,Genre
tt0499448,Action,Genre
tt0910970,Animation,Genre
tt1027862,Comedy,Genre
tt1046997,Action,Genre
tt1014775,Adventure,Genre
tt1198405,Documentary,Genre
tt1050739,Animation,Genre
tt0397892,Animation,Genre
tt0960731,Adventure,Genre
tt1093908,Comedy,Genre
tt1229827,Documentary,Genre
tt1075417,Action,Genre
tt1114677,Comedy,Genre
tt1757737,Short,Genre
tt1247700,Adventure,Genre
tt1049413,Animation,Genre
tt1176731,Adventure,Genre
tt1041829,Comedy,Genre
tt0436339,Animation,Genre
tt1440770,Documentary,Genre
tt1581275,Documentary,Genre
tt0986263,Action,Genre
tt1067106,Animation,Genre
tt0976238,Comedy,Genre
tt0780521,Animation,Genre
tt1185416,Comedy,Genre
tt1014759,Adventure,Genre
tt1294226,Drama,Genre
tt1723746,Animation,Genre
tt0473075,Action,Genre
tt0435761,Animation,Genre
tt0963966,Action,Genre
tt1193631,Drama,Genre
tt1414382,Comedy,Genre
tt1028576,Biography,Genre
tt1714832,Comedy,Genre
tt0398286,Animation,Genre
tt1274300,Comedy,Genre
tt1104001,Action,Genre
tt0377981,Animation,Genre
tt1452293,Comedy,Genre
tt1464540,Action,Genre
tt1305591,Animation,Genre
tt1223236,Documentary,Genre
tt1605790,Action,Genre
tt1604171,Comedy,Genre
tt1298650,Action,Genre
tt1216475,Animation,Genre
tt1449283,Animation,Genre
tt1454029,Drama,Genre
tt1438176,Comedy,Genre
tt0433035,Action,Genre
tt1204342,Adventure,Genre
tt1568911,Action,Genre
tt0401729,Action,Genre
tt1222815,Documentary,Genre
tt0848228,Action,Genre
tt2404027,Animation,Genre
tt2334731,Comedy,Genre
tt1217209,Animation,Genre
tt1716777,Comedy,Genre
tt1462769,Comedy,Genre
tt1142977,Animation,Genre
tt1217213,Animation,Genre
tt1772341,Animation,Genre
tt0443272,Biography,Genre
tt1623205,Adventure,Genre
tt1300854,Action,Genre
tt1453405,Animation,Genre
tt1210819,Action,Genre
tt1691917,Animation,Genre
tt1837703,Biography,Genre
tt1981115,Action,Genre
tt2387559,Comedy,Genre
tt2294629,Animation,Genre
tt2140373,Biography,Genre
tt2369135,Action,Genre
tt2281587,Adventure,Genre
tt2483260,Animation,Genre
tt1843866,Action,Genre
tt2458776,Documentary,Genre
tt1647668,Biography,Genre
tt1587310,Action,Genre
tt2980706,Animation,Genre
tt2015381,Action,Genre
tt2980648,Comedy,Genre
tt3554418,Comedy,Genre
tt1698641,Comedy,Genre
tt2245084,Animation,Genre
tt2180411,Adventure,Genre
tt4191054,Animation,Genre
tt2097298,Biography,Genre
tt1661199,Drama,Genre
tt3660770,Documentary,Genre
tt2395427,Action,Genre
tt1964418,Action,Genre
tt6049376,Music,Genre
tt2096673,Animation,Genre
tt0478970,Action,Genre
tt5641162,Comedy,Genre
tt3682448,Drama,Genre
tt1979388,Animation,Genre
tt7768640,News,Genre
tt2025690,Action,Genre
tt2948356,Animation,Genre
tt3040964,Adventure,Genre
tt3498820,Action,Genre
tt2567026,Adventure,Genre
tt2277860,Animation,Genre
tt3691740,Adventure,Genre
tt2788732,Action,Genre
tt2547584,Drama,Genre
tt4341582,Biography,Genre
tt1211837,Action,Genre
tt3521164,Animation,Genre
tt6332994,Documentary,Genre
tt3748528,Action,Genre
tt5074352,Action,Genre
tt2771200,Family,Genre
tt3896198,Action,Genre
tt1790809,Action,Genre
tt3606752,Animation,Genre
tt7332500,Documentary,Genre
tt3501632,Action,Genre
tt2380307,Animation,Genre
tt7769872,Short,Genre
tt8064392,Documentary,Genre
tt1825683,Action,Genre
tt1620680,Adventure,Genre
tt4154756,Action,Genre
tt3778644,Action,Genre
tt3606756,Animation,Genre
tt5095030,Action,Genre
tt4575576,Adventure,Genre
tt5523010,Adventure,Genre
tt5848272,Animation,Genre
tt5028340,Comedy,Genre
tt6823368,Drama,Genre
tt4154664,Action,Genre
tt3861390,Adventure,Genre
tt7083526,Biography,Genre
tt8080302,Documentary,Genre
tt4154796,Action,Genre
tt3361792,Biography,Genre
tt6139732,Adventure,Genre
tt6565702,Action,Genre
tt1979376,Animation,Genre
tt7734218,Action,Genre
tt6105098,Animation,Genre
tt1478839,Comedy,Genre
tt7798634,Comedy,Genre
tt2935510,Adventure,Genre
tt7549996,Biography,Genre
tt4682804,Drama,Genre
tt2584384,Comedy,Genre
tt4777008,Adventure,Genre
tt6450804,Action,Genre
tt5097410,Comedy,Genre
tt8096832,Adventure,Genre
tt1950186,Action,Genre
tt4520988,Animation,Genre
tt5827916,Biography,Genre
tt5116302,Adventure,Genre
tt11464830,Adventure,Genre
tt5814534,Animation,Genre
tt5774060,Action,Genre
tt6820324,Adventure,Genre
tt4558376,Comedy,Genre
tt7504726,Adventure,Genre
tt2420124,Drama,Genre
tt7146812,Animation,Genre
tt8722888,Action,Genre
tt12036052,Documentary,Genre
tt3089630,Adventure,Genre
tt8503618,Biography,Genre
tt12607910,Adventure,Genre
tt3979300,Comedy,Genre
tt3661394,Adventure,Genre
tt4682266,Action,Genre
tt4566758,Action,Genre
tt5867314,Crime,Genre
tt11681250,Comedy,Genre
tt0263027,Short,Genre
tt0029583,Family,Genre
tt0032910,Comedy,Genre
tt0032455,Family,Genre
tt0034091,Comedy,Genre
tt0033563,Drama,Genre
tt0034492,Drama,Genre
tt0036497,Animation,Genre
tt0038718,Adventure,Genre
tt0038969,Comedy,Genre
tt0039404,Adventure,Genre
tt0040580,Comedy,Genre
tt0041890,Drama,Genre
tt0041094,Comedy,Genre
tt0042332,Family,Genre
tt0043067,Family,Genre
tt0043274,Adventure,Genre
tt0045197,Adventure,Genre
tt0046183,Adventure,Genre
tt0046387,Drama,Genre
tt0046008,Documentary,Genre
tt0047642,Family,Genre
tt0046672,Drama,Genre
tt0047977,Drama,Genre
tt0048280,Adventure,Genre
tt0047803,Documentary,Genre
tt0048304,Family,Genre
tt0049279,Adventure,Genre
tt0049125,Comedy,Genre
tt0049733,Family,Genre
tt0049945,Western,Genre
tt0050567,Family,Genre
tt0050837,Family,Genre
tt0050798,Drama,Genre
tt0051936,Family,Genre
tt0051864,Drama,Genre
tt0052389,Family,Genre
tt0052300,Drama,Genre
tt0053285,Family,Genre
tt0053271,Comedy,Genre
tt0052722,Family,Genre
tt0052627,History,Genre
tt0052424,Family,Genre
tt0053352,Drama,Genre
tt0054390,Family,Genre
tt0054195,Drama,Genre
tt0053977,Family,Genre
tt0054372,Family,Genre
tt0054357,Family,Genre
tt0055254,Adventure,Genre
tt0054594,Family,Genre
tt0055277,Family,Genre
tt0055232,Family,Genre
tt0054944,Family,Genre
tt0054649,Family,Genre
tt0056249,Comedy,Genre
